2023-05-14 14:05:466 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 14:05:31 INFO  HomePage :66 - Mouse hover on gear menu : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: //ul[@class='ui-menu ui-widget ui-widget-content ui-corner-all']/li[4]]
2023-05-14 14:05:731 INFO  HomePage :71 - Click on bag menu : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: //span[normalize-space()='Bags']]
2023-05-14 14:05:103 INFO  GearBagPage :39 - Clicking on over night duffle bag: [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-05-14 14:05:186 INFO  GearBagPage :43 - Get bag name text : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: //span[contains(.,'Overnight Duffle')]]
2023-05-14 14:05:529 INFO  GearBagPage :50 - Change the quantity : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: //input[@id='qty']]
2023-05-14 14:05:624 INFO  GearBagPage :55 - Clicking on add to cart button : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> id: product-addtocart-button]
2023-05-14 14:05:323 INFO  GearBagPage :59 - Get success message : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: //div[contains(@data-bind,'html: $parent.prepareMessageForHtml(message.text)')]]
2023-05-14 14:05:762 INFO  GearBagPage :65 - Clicking on shopping cart link : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> link text: shopping cart]
2023-05-14 14:05:790 INFO  ShoppingCartPage :48 - Getting product name : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: (//div[@class='product-item-details'])[2]/strong/a]
2023-05-14 14:05:00 INFO  ShoppingCartPage :54 - Get quantity : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: //input[@class='input-text qty']]
2023-05-14 14:05:601 INFO  ShoppingCartPage :59 - Getting product price : [[ChromeDriver: chrome on WINDOWS (f8fccf27a5fd3b49fed56797b725b838)] -> xpath: //span[@data-bind='text: getValue()'][normalize-space()='$135.00']]
2023-05-14 14:05:292 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 14:05:760 INFO  HomePage :66 - Mouse hover on gear menu : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //ul[@class='ui-menu ui-widget ui-widget-content ui-corner-all']/li[4]]
2023-05-14 14:05:500 INFO  HomePage :71 - Click on bag menu : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //span[normalize-space()='Bags']]
2023-05-14 14:05:485 INFO  GearBagPage :39 - Clicking on over night duffle bag: [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-05-14 14:05:526 INFO  GearBagPage :43 - Get bag name text : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //span[contains(.,'Overnight Duffle')]]
2023-05-14 14:05:715 INFO  GearBagPage :50 - Change the quantity : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //input[@id='qty']]
2023-05-14 14:05:794 INFO  GearBagPage :55 - Clicking on add to cart button : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> id: product-addtocart-button]
2023-05-14 14:05:564 INFO  GearBagPage :59 - Get success message : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //div[contains(@data-bind,'html: $parent.prepareMessageForHtml(message.text)')]]
2023-05-14 14:05:372 INFO  GearBagPage :65 - Clicking on shopping cart link : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> link text: shopping cart]
2023-05-14 14:05:611 INFO  ShoppingCartPage :48 - Getting product name : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: (//div[@class='product-item-details'])[2]/strong/a]
2023-05-14 14:05:674 INFO  ShoppingCartPage :54 - Get quantity : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //input[@class='input-text qty']]
2023-05-14 14:05:481 INFO  ShoppingCartPage :59 - Getting product price : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //span[@data-bind='text: getValue()'][normalize-space()='$135.00']]
2023-05-14 14:05:567 INFO  ShoppingCartPage :65 - Change quantity : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //input[@class='input-text qty']]
2023-05-14 14:05:708 INFO  ShoppingCartPage :71 - Clicking on update shopping cart : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //button[@class='action update']]
2023-05-14 14:05:758 INFO  ShoppingCartPage :76 - Get updated price : [[ChromeDriver: chrome on WINDOWS (9761479090c0d9cbdab17a6d2955d88f)] -> xpath: //span[@class='cart-price']//span[@class='price'][normalize-space()='$225.00']]
2023-05-14 15:05:468 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 15:05:196 INFO  HomePage :66 - Mouse hover on gear menu : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //ul[@class='ui-menu ui-widget ui-widget-content ui-corner-all']/li[4]]
2023-05-14 15:05:846 INFO  HomePage :71 - Click on bag menu : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //span[normalize-space()='Bags']]
2023-05-14 15:05:972 INFO  GearBagPage :39 - Clicking on over night duffle bag: [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-05-14 15:05:76 INFO  GearBagPage :43 - Get bag name text : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //span[contains(.,'Overnight Duffle')]]
2023-05-14 15:05:292 INFO  GearBagPage :50 - Change the quantity : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //input[@id='qty']]
2023-05-14 15:05:374 INFO  GearBagPage :55 - Clicking on add to cart button : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> id: product-addtocart-button]
2023-05-14 15:05:30 INFO  GearBagPage :59 - Get success message : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //div[contains(@data-bind,'html: $parent.prepareMessageForHtml(message.text)')]]
2023-05-14 15:05:758 INFO  GearBagPage :65 - Clicking on shopping cart link : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> link text: shopping cart]
2023-05-14 15:05:820 INFO  ShoppingCartPage :48 - Getting product name : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: (//div[@class='product-item-details'])[2]/strong/a]
2023-05-14 15:05:877 INFO  ShoppingCartPage :54 - Get quantity : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //input[@class='input-text qty']]
2023-05-14 15:05:491 INFO  ShoppingCartPage :59 - Getting product price : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //span[@data-bind='text: getValue()'][normalize-space()='$135.00']]
2023-05-14 15:05:575 INFO  ShoppingCartPage :65 - Change quantity : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //input[@class='input-text qty']]
2023-05-14 15:05:709 INFO  ShoppingCartPage :71 - Clicking on update shopping cart : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //button[@class='action update']]
2023-05-14 15:05:288 INFO  ShoppingCartPage :76 - Get updated price : [[ChromeDriver: chrome on WINDOWS (6340b6450746b8ccca98857d3565da1c)] -> xpath: //span[@class='cart-price']//span[@class='price'][normalize-space()='$225.00']]
2023-05-14 15:05:693 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 15:05:589 INFO  HomePage :51 - Mouse hover on men menu : [[ChromeDriver: chrome on WINDOWS (20d57b90474edef9f6f43f2b1021bc04)] -> id: ui-id-5]
2023-05-14 15:05:934 INFO  HomePage :56 - Mouse hover on men bottom menu : [[ChromeDriver: chrome on WINDOWS (20d57b90474edef9f6f43f2b1021bc04)] -> id: ui-id-18]
2023-05-14 15:05:584 INFO  HomePage :61 - Click on : Proxy element for: DefaultElementLocator 'By.linkText: Pants'
2023-05-14 15:05:858 INFO  MenPage :52 - Select from : [[ChromeDriver: chrome on WINDOWS (20d57b90474edef9f6f43f2b1021bc04)] -> xpath: //select[@id='sorter']]
2023-05-14 15:05:712 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 15:05:404 INFO  HomePage :66 - Mouse hover on gear menu : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //ul[@class='ui-menu ui-widget ui-widget-content ui-corner-all']/li[4]]
2023-05-14 15:05:261 INFO  HomePage :71 - Click on bag menu : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //span[normalize-space()='Bags']]
2023-05-14 15:05:74 INFO  GearBagPage :39 - Clicking on over night duffle bag: [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-05-14 15:05:159 INFO  GearBagPage :43 - Get bag name text : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //span[contains(.,'Overnight Duffle')]]
2023-05-14 15:05:378 INFO  GearBagPage :50 - Change the quantity : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //input[@id='qty']]
2023-05-14 15:05:465 INFO  GearBagPage :55 - Clicking on add to cart button : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> id: product-addtocart-button]
2023-05-14 15:05:315 INFO  GearBagPage :59 - Get success message : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //div[contains(@data-bind,'html: $parent.prepareMessageForHtml(message.text)')]]
2023-05-14 15:05:738 INFO  GearBagPage :65 - Clicking on shopping cart link : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> link text: shopping cart]
2023-05-14 15:05:746 INFO  ShoppingCartPage :48 - Getting product name : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: (//div[@class='product-item-details'])[2]/strong/a]
2023-05-14 15:05:805 INFO  ShoppingCartPage :54 - Get quantity : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //input[@class='input-text qty']]
2023-05-14 15:05:715 INFO  ShoppingCartPage :59 - Getting product price : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //span[@data-bind='text: getValue()'][normalize-space()='$135.00']]
2023-05-14 15:05:798 INFO  ShoppingCartPage :65 - Change quantity : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //input[@class='input-text qty']]
2023-05-14 15:05:920 INFO  ShoppingCartPage :71 - Clicking on update shopping cart : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //button[@class='action update']]
2023-05-14 15:05:713 INFO  ShoppingCartPage :76 - Get updated price : [[ChromeDriver: chrome on WINDOWS (a7b138e8dbc75321f9440afd76b90095)] -> xpath: //span[@class='cart-price']//span[@class='price'][normalize-space()='$225.00']]
2023-05-14 15:05:212 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 15:05:419 INFO  HomePage :51 - Mouse hover on men menu : [[ChromeDriver: chrome on WINDOWS (d5d2e61b89347a634c8f52e719823310)] -> id: ui-id-5]
2023-05-14 15:05:486 INFO  HomePage :56 - Mouse hover on men bottom menu : [[ChromeDriver: chrome on WINDOWS (d5d2e61b89347a634c8f52e719823310)] -> id: ui-id-18]
2023-05-14 15:05:339 INFO  HomePage :61 - Click on : Proxy element for: DefaultElementLocator 'By.linkText: Pants'
2023-05-14 15:05:757 INFO  MenPage :52 - Select from : [[ChromeDriver: chrome on WINDOWS (d5d2e61b89347a634c8f52e719823310)] -> xpath: //select[@id='sorter']]
2023-05-14 15:05:921 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 15:05:252 INFO  HomePage :66 - Mouse hover on gear menu : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //ul[@class='ui-menu ui-widget ui-widget-content ui-corner-all']/li[4]]
2023-05-14 15:05:343 INFO  HomePage :71 - Click on bag menu : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //span[normalize-space()='Bags']]
2023-05-14 15:05:620 INFO  GearBagPage :39 - Clicking on over night duffle bag: [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-05-14 15:05:687 INFO  GearBagPage :43 - Get bag name text : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //span[contains(.,'Overnight Duffle')]]
2023-05-14 15:05:944 INFO  GearBagPage :50 - Change the quantity : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //input[@id='qty']]
2023-05-14 15:05:24 INFO  GearBagPage :55 - Clicking on add to cart button : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> id: product-addtocart-button]
2023-05-14 15:05:08 INFO  GearBagPage :59 - Get success message : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //div[contains(@data-bind,'html: $parent.prepareMessageForHtml(message.text)')]]
2023-05-14 15:05:774 INFO  GearBagPage :65 - Clicking on shopping cart link : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> link text: shopping cart]
2023-05-14 15:05:392 INFO  ShoppingCartPage :48 - Getting product name : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: (//div[@class='product-item-details'])[2]/strong/a]
2023-05-14 15:05:466 INFO  ShoppingCartPage :54 - Get quantity : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //input[@class='input-text qty']]
2023-05-14 15:05:580 INFO  ShoppingCartPage :59 - Getting product price : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //span[@data-bind='text: getValue()'][normalize-space()='$135.00']]
2023-05-14 15:05:661 INFO  ShoppingCartPage :65 - Change quantity : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //input[@class='input-text qty']]
2023-05-14 15:05:798 INFO  ShoppingCartPage :71 - Clicking on update shopping cart : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //button[@class='action update']]
2023-05-14 15:05:698 INFO  ShoppingCartPage :76 - Get updated price : [[ChromeDriver: chrome on WINDOWS (8758316f2f52eb3cda9d3d1fea39b4e1)] -> xpath: //span[@class='cart-price']//span[@class='price'][normalize-space()='$225.00']]
2023-05-14 15:05:714 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 15:05:565 INFO  HomePage :51 - Mouse hover on men menu : [[ChromeDriver: chrome on WINDOWS (8c64e0b52dbb187872fb540240f40bb1)] -> id: ui-id-5]
2023-05-14 15:05:771 INFO  HomePage :56 - Mouse hover on men bottom menu : [[ChromeDriver: chrome on WINDOWS (8c64e0b52dbb187872fb540240f40bb1)] -> id: ui-id-18]
2023-05-14 15:05:833 INFO  HomePage :61 - Click on : Proxy element for: DefaultElementLocator 'By.linkText: Pants'
2023-05-14 15:05:279 INFO  MenPage :52 - Select from : [[ChromeDriver: chrome on WINDOWS (8c64e0b52dbb187872fb540240f40bb1)] -> xpath: //select[@id='sorter']]
2023-05-14 15:05:427 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-14 15:05:565 INFO  HomePage :66 - Mouse hover on gear menu : [[ChromeDriver: chrome on WINDOWS (06a3995141486c9cb39bcf5bb70f226b)] -> xpath: //ul[@class='ui-menu ui-widget ui-widget-content ui-corner-all']/li[4]]
2023-05-14 15:05:852 INFO  HomePage :71 - Click on bag menu : [[ChromeDriver: chrome on WINDOWS (06a3995141486c9cb39bcf5bb70f226b)] -> xpath: //span[normalize-space()='Bags']]
2023-05-14 15:05:214 INFO  GearBagPage :39 - Clicking on over night duffle bag: [[ChromeDriver: chrome on WINDOWS (06a3995141486c9cb39bcf5bb70f226b)] -> xpath: //a[normalize-space()='Overnight Duffle']]
2023-05-14 15:05:277 INFO  GearBagPage :43 - Get bag name text : [[ChromeDriver: chrome on WINDOWS (06a3995141486c9cb39bcf5bb70f226b)] -> xpath: //span[contains(.,'Overnight Duffle')]]
2023-05-14 15:05:437 INFO  GearBagPage :50 - Change the quantity : [[ChromeDriver: chrome on WINDOWS (06a3995141486c9cb39bcf5bb70f226b)] -> xpath: //input[@id='qty']]
2023-05-14 15:05:335 INFO  GearBagPage :55 - Clicking on add to cart button : [[ChromeDriver: chrome on WINDOWS (06a3995141486c9cb39bcf5bb70f226b)] -> id: product-addtocart-button]
2023-05-14 15:05:165 INFO  GearBagPage :59 - Get success message : [[ChromeDriver: chrome on WINDOWS (06a3995141486c9cb39bcf5bb70f226b)] -> xpath: //div[contains(@data-bind,'html: $parent.prepareMessageForHtml(message.text)')]]
2023-05-14 15:05:681 INFO  GearBagPage :65 - Clicking on shopping cart link : [[ChromeDriver: chrome on WINDOWS (06a3995141486c9cb39bcf5bb70f226b)] -> link text: shopping cart]
